Tipo Titulo,Vencimento do Titulo,Data Venda,PU,Quantidade,Valor
Tesouro Selic,07/03/2017,31/07/2012,"5298,167927","60,8","322128,6"
Tesouro Selic,07/03/2017,01/08/2012,"5299,758756","104,21","552287,85"
Tesouro Selic,07/03/2017,26/09/2012,"5353,277999","45,18","241861,09"
Tesouro Selic,07/03/2017,27/09/2012,"5354,789492","279,61","1497252,68"
Tesouro Selic,01/03/2021,03/06/2016,"7808,616289","3079,46","24046321,51"
Tesouro Selic,01/03/2021,06/06/2016,"7812,726524","3250,82","25397767,63"
Tesouro Selic,01/03/2021,07/06/2016,"7816,846588","2866,4","22406209,05"
Tesouro Selic,01/03/2021,22/06/2016,"7862,235969","2158,67","16971972,91"
Tesouro Selic,01/03/2021,23/06/2016,"7866,37571","1800,35","14162229,5"
Tesouro Selic,01/03/2021,24/06/2016,"7870,516713","1891,94","14890545,38"
Tesouro Selic,01/03/2021,09/03/2016,"7577,347486","3651,02","27665047,21"
Tesouro Selic,01/03/2021,10/03/2016,"7581,337664","3546,36","26886152,63"
Tesouro Selic,01/03/2021,11/03/2016,"7585,317478","2926,47","22198204,03"
Tesouro Selic,01/03/2021,12/04/2016,"7665,777044","3076,62","23584682,96"
Tesouro Selic,01/03/2021,13/04/2016,"7669,805952","2111,6","16195562,24"
Tesouro Selic,01/03/2021,14/04/2016,"7673,835917","1504,79","11547511,54"
Tesouro Selic,01/03/2021,08/06/2016,"7820,964286","2434,91","19043344,14"
Tesouro Selic,01/03/2021,09/06/2016,"7825,077229","2746,1","21488444,57"
Tesouro Selic,01/03/2021,10/06/2016,"7829,196952","2121,27","16607840,61"
Tesouro Selic,01/03/2021,05/07/2016,"7899,563803","3402,62","26879213,78"
Tesouro Selic,01/03/2021,06/07/2016,"7903,735077","2854,19","22558761,61"
Tesouro Selic,01/03/2021,07/07/2016,"7907,895244","2479,39","19606756,38"
Tesouro Selic,01/03/2021,05/01/2016,"7400,157997","3426,7","25358121,4"
Tesouro Selic,01/03/2021,06/01/2016,"7411,843524","10622,96","78735717,28"
Tesouro Selic,01/03/2021,07/01/2016,"7415,717419","4693,85","34808265,2"
Tesouro Selic,01/03/2021,15/04/2016,"7677,876939","2091,98","16061964,99"
Tesouro Selic,01/03/2021,13/06/2016,"7833,316544","2426,58","19008169,25"
Tesouro Selic,01/03/2021,14/06/2016,"7837,445552","2337,59","18320734,34"
Tesouro Selic,01/03/2021,15/06/2016,"7841,576515","2332,34","18289222,56"
Tesouro Selic,01/03/2021,20/01/2016,"7450,857063","3148,81","23461333,22"
Tesouro Selic,01/03/2021,21/01/2016,"7454,767299","2781,65","20736553,45"
Tesouro Selic,01/03/2021,03/02/2016,"7490,086489","2702,3","20240460,71"
Tesouro Selic,01/03/2021,04/02/2016,"7494,017809","3457,63","25911540,79"
Tesouro Selic,01/03/2021,05/02/2016,"7497,955914","2171,93","16285035,38"
Tesouro Selic,01/03/2021,18/01/2016,"7443,028104","2740,86",20400298
Tesouro Selic,01/03/2021,19/01/2016,"7446,93606","3503,61","26091159,64"
Tesouro Selic,01/03/2021,22/04/2016,"7694,047659","2211,71","17017002,14"
Tesouro Selic,01/03/2021,25/04/2016,"7698,097898","2901,06","22332643,88"
Tesouro Selic,01/03/2021,26/04/2016,"7702,146885","2306,35","17763846,46"
Tesouro Selic,01/03/2021,09/05/2016,"7738,696499","1831,99","14177214,59"
Tesouro Selic,01/03/2021,10/05/2016,"7742,766324","2579,95","19975949,97"
Tesouro Selic,01/03/2021,11/05/2016,"7746,835211","1778,83","13780302,87"
Tesouro Selic,01/03/2021,10/02/2016,"7501,897153","2524,34","18937339,05"
Tesouro Selic,01/03/2021,11/02/2016,"7505,835874","3753,77","28175181,52"
Tesouro Selic,01/03/2021,12/02/2016,"7509,775544","1989,57","14941224,12"
Tesouro Selic,01/03/2021,15/02/2016,"7513,725899",2402,"18047969,6"
Tesouro Selic,01/03/2021,14/03/2016,"7589,307196","2753,03","20893590,38"
Tesouro Selic,01/03/2021,12/05/2016,"7750,90465","1902,58","14746716,16"
Tesouro Selic,01/03/2021,13/05/2016,"7754,98481","1798,63","13948348,32"
Tesouro Selic,01/03/2021,15/03/2016,"7593,29708","3182,67","24166958,81"
Tesouro Selic,01/03/2021,16/06/2016,"7845,706264","2124,84","16670870,49"
Tesouro Selic,01/03/2021,16/02/2016,"7517,666759","3066,79","23055105,23"
Tesouro Selic,01/03/2021,16/03/2016,"7597,28694","2501,08","19001422,41"
Tesouro Selic,01/03/2021,17/03/2016,"7601,286731","2613,07","19862694,31"
Tesouro Selic,01/03/2021,16/05/2016,"7759,066657","2320,53","18005146,94"
Tesouro Selic,01/03/2021,17/05/2016,"7763,156899","2923,84","22698228,66"
Tesouro Selic,01/03/2021,27/06/2016,"7874,656132","1797,38","14153749,43"
Tesouro Selic,01/03/2021,28/06/2016,"7878,80624","3030,82","23879243,52"
Tesouro Selic,01/03/2021,29/06/2016,"7882,956002","2493,78","19658358,01"
Tesouro Selic,01/03/2021,30/06/2016,"7887,106812","2012,13","15869884,22"
Tesouro Selic,01/03/2021,17/02/2016,"7521,614776","3114,53","23426294,86"
Tesouro Selic,01/03/2021,18/02/2016,"7525,565904","2204,31","16588680,17"
Tesouro Selic,01/03/2021,19/02/2016,"7529,526444","2237,69","16848746,02"
Tesouro Selic,01/03/2021,18/03/2016,"7605,277083","1746,01","13278889,83"
